Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Grady County, Oklahoma","54,873","55,608","56,658"
"Harris County, Georgia","34,896","35,605","36,276"
"Polk County, Missouri","31,612","32,089","32,693"
"Douglas County, Missouri","11,604","11,754","11,975"
"Robertson County, Tennessee","72,945","74,088","75,470"
"Meigs County, Tennessee","12,807","13,029","13,272"
"Brazos County, Texas","234,486","237,583","242,014"
"San Jacinto County, Texas","27,531","27,829","28,348"
"Bayfield County, Wisconsin","16,233","16,304","16,608"
"Grainger County, Tennessee","23,563","23,833","24,277"
"Fulton County, Arkansas","12,057","12,156","12,382"
"Portage County, Wisconsin","70,402","69,429","70,718"
"Isanti County, Minnesota","41,385","41,951","42,727"
"Holmes County, Florida","19,569","19,295","19,651"
"Miller County, Missouri","24,770","24,943","25,403"
"Chatham County, Georgia","295,064","295,656","301,107"
"White County, Tennessee","27,443","27,557","28,064"
"Washington County, Idaho","10,559","10,887","11,087"
"Madison County, Kentucky","92,983","93,473","95,187"
"Lewis and Clark County, Montana","71,168","72,503","73,832"
"St Clair County, Missouri","9,351","9,404","9,576"
"Morgan County, Georgia","20,198","20,654","21,031"
"Clay County, Florida","218,933","222,533","226,589"
"Rich County, Utah","2,500","2,581","2,628"
"Fairfax city, Virginia","24,175","24,391","24,835"
"Cass County, North Dakota","184,874","189,293","192,734"
"Saguache County, Colorado","6,393","6,505","6,623"
"Big Horn County, Wyoming","11,481","11,645","11,855"
"Spalding County, Georgia","67,455","67,699","68,919"
"Jackson County, Tennessee","11,634","11,777","11,989"
"Williamson County, Tennessee","249,538","256,209","260,815"
"Rio Blanco County, Colorado","6,524","6,453","6,569"
"Wood County, Texas","45,041","46,031","46,857"
"Duchesne County, Utah","19,617","19,806","20,161"
"Kingsbury County, South Dakota","5,203","5,201","5,294"
"Texas County, Missouri","24,326","24,893","25,336"
"Mohave County, Arizona","214,176","216,957","220,816"
"Liberty County, Georgia","65,317","66,844","68,030"
"Caroline County, Virginia","30,924","31,402","31,957"
"Crook County, Wyoming","7,186","7,319","7,448"
"Madison County, Alabama","390,502","396,593","403,565"
"Oldham County, Kentucky","67,692","68,232","69,431"
"Cabarrus County, North Carolina","227,214","231,726","235,797"
"Lee County, Alabama","174,742","177,655","180,773"
"Cumberland County, Tennessee","61,377","62,431","63,522"
"Whatcom County, Washington","227,430","226,718","230,677"
"Columbia County, Georgia","156,849","159,636","162,419"
"Milam County, Texas","24,775","25,189","25,628"
"Cannon County, Tennessee","14,568","14,535","14,788"
"Portage County, Ohio","161,833","158,978","161,745"
"Mecklenburg County, North Carolina","1,116,788","1,125,809","1,145,392"
"Archer County, Texas","8,554","8,684","8,835"
"Orange County, Florida","1,431,573","1,427,928","1,452,726"
"Anderson County, Tennessee","77,302","77,567","78,913"
"Aransas County, Texas","23,932","24,519","24,944"
"Washington County, Arkansas","246,756","251,692","256,054"
"Bartow County, Georgia","109,296","110,901","112,816"
"York County, South Carolina","284,032","289,255","294,248"
"Beaver County, Utah","7,087","7,203","7,327"
"Christian County, Missouri","89,284","91,541","93,114"
"Morgan County, Missouri","20,990","21,417","21,785"
"Sawyer County, Wisconsin","18,123","18,247","18,559"
"Kendall County, Illinois","132,348","134,948","137,254"
"Kanabec County, Minnesota","16,049","16,187","16,463"
"Fayette County, Tennessee","42,151","42,899","43,630"
"Heard County, Georgia","11,448","11,529","11,725"
"Aiken County, South Carolina","169,163","171,263","174,150"
"Deuel County, South Dakota","4,294","4,280","4,352"
"Stone County, Missouri","31,206","31,605","32,136"
"Blount County, Tennessee","135,649","137,649","139,958"
"Marion County, Arkansas","16,877","16,970","17,254"
"Stillwater County, Montana","8,997","9,026","9,177"
"Platte County, Missouri","107,168","108,720","110,534"
"Douglas County, Colorado","360,303","369,825","375,988"
"George County, Mississippi","24,364","24,793","25,206"
"Hendricks County, Indiana","175,575","179,555","182,534"
"Clay County, Texas","10,250","10,315","10,486"
"Stanly County, North Carolina","62,638","63,108","64,153"
"Kimble County, Texas","4,291","4,350","4,422"
"Mecosta County, Michigan","39,792","40,057","40,720"
"Burnett County, Wisconsin","16,579","16,759","17,036"
"Yavapai County, Arizona","237,216","242,193","246,191"
"Seminole County, Florida","471,428","471,009","478,772"
"Clark County, Idaho",791,793,806
"Sumner County, Tennessee","197,396","200,582","203,858"
"Valley County, Idaho","11,842","12,264","12,464"
"Howell County, Missouri","39,793","39,980","40,631"
"Saline County, Arkansas","123,815","125,319","127,357"
"Custer County, Idaho","4,265","4,434","4,506"
"Upshur County, Texas","41,038","41,811","42,488"
"Cassia County, Idaho","24,760","25,249","25,655"
"James City County, Virginia","78,478","79,914","81,199"
"Faulkner County, Arkansas","123,811","125,645","127,665"
"Franklin County, Tennessee","42,839","43,247","43,942"
"Dorchester County, South Carolina","162,159","163,508","166,133"
"Lee County, Texas","17,502","17,671","17,954"
"Pottawatomie County, Kansas","25,411","25,860","26,273"
"Elmore County, Idaho","28,669","28,941","29,403"
"Knox County, Tennessee","480,500","486,812","494,574"
"Switzerland County, Indiana","9,742","9,849","10,006"
"Queen Anne's County, Maryland","50,023","50,900","51,711"
"Madison County, Idaho","52,929","54,114","54,976"
"Schoolcraft County, Michigan","8,056","8,060","8,188"
"Sherburne County, Minnesota","97,580","99,248","100,824"
"Middlesex County, Virginia","10,616","10,772","10,943"
"Boone County, Indiana","71,134","73,006","74,164"
"Rhea County, Tennessee","32,934","33,205","33,730"
"King William County, Virginia","17,916","18,205","18,492"
"Habersham County, Georgia","46,138","46,740","47,475"
"Warren County, Iowa","52,588","53,487","54,327"
"Latimer County, Oklahoma","9,481","9,482","9,630"
"Lincoln County, Tennessee","35,335","35,451","36,004"
"Adams County, Washington","20,608","20,640","20,961"
"Spencer County, Kentucky","19,510","19,895","20,204"
"Bedford County, Tennessee","50,381","51,157","51,950"
"Benton County, Missouri","19,424","19,916","20,224"
"Macon County, North Carolina","37,092","37,488","38,065"
"Lawrence County, Tennessee","44,182","44,729","45,415"
"Hamilton County, Tennessee","367,242","369,027","374,682"
"Antrim County, Michigan","23,459","23,884","24,249"
"Smith County, Tennessee","19,970","20,181","20,489"
"Shannon County, Missouri","7,028","7,085","7,193"
"Hopkins County, Texas","36,824","37,237","37,804"
"Ascension Parish, Louisiana","126,966","128,502","130,458"
"Frio County, Texas","18,409","17,548","17,815"
"Glades County, Florida","12,068","12,268","12,454"
"Cooke County, Texas","41,744","42,408","43,050"
"Cook County, Minnesota","5,595","5,623","5,708"
"Santa Cruz County, Arizona","47,705","48,034","48,759"
"McMinn County, Tennessee","53,344","53,907","54,719"
"Putnam County, Georgia","22,163","22,643","22,984"
"Livingston Parish, Louisiana","142,824","146,230","148,425"
"Esmeralda County, Nevada",732,733,744
"Polk County, North Carolina","19,383","19,691","19,986"
"Crawford County, Michigan","12,993","13,292","13,491"
"Williamsburg city, Virginia","15,468","15,675","15,909"
"Upson County, Georgia","27,740","27,673","28,086"
"Santa Cruz County, California","270,462","260,495","264,370"
"Archuleta County, Colorado","13,425","13,798","14,003"
"Hancock County, Indiana","80,187","81,855","83,070"
"Stewart County, Tennessee","13,711","13,830","14,035"
"Houston County, Georgia","164,343","167,156","169,631"
"Park County, Montana","17,224","17,531","17,790"
"Hickman County, Tennessee","24,969","25,085","25,455"
"Coleman County, Texas","7,686","7,736","7,850"
"Madison County, Iowa","16,628","16,789","17,036"
"Dallas County, Missouri","17,130","17,371","17,626"
"Gallatin County, Montana","119,585","123,051","124,857"
"Yellowstone County, Montana","165,196","167,397","169,852"
"Franklin city, Virginia","8,149","8,128","8,247"
"Santa Barbara County, California","448,244","437,434","443,837"
"Randall County, Texas","141,342","144,039","146,140"
"Lewis County, Idaho","3,528","3,709","3,763"
"White County, Georgia","28,108","28,393","28,806"
"Hand County, South Dakota","3,145","3,095","3,140"
"Grundy County, Tennessee","13,539","13,586","13,783"
"Twin Falls County, Idaho","90,361","92,357","93,696"
"Silver Bow County, Montana","35,201","35,554","36,068"
"Mille Lacs County, Minnesota","26,462","26,892","27,280"
"Latah County, Idaho","39,629","40,397","40,978"
"Toole County, Montana","4,970","5,010","5,082"
"Lexington County, South Carolina","295,033","300,482","304,797"
"Presque Isle County, Michigan","12,997","13,173","13,361"
"Duval County, Florida","997,604","1,002,252","1,016,536"
"Alamance County, North Carolina","171,954","173,876","176,353"
"Sarpy County, Nebraska","191,157","193,798","196,553"
"Stevens County, Washington","46,587","47,553","48,229"
"Hamlin County, South Dakota","6,157","6,263","6,352"
"Pine County, Minnesota","28,889","29,034","29,446"
"DeSoto County, Mississippi","186,107","189,042","191,723"
"Meade County, South Dakota","29,900","30,270","30,698"
"Bexar County, Texas","2,015,369","2,030,895","2,059,530"
"Breckinridge County, Kentucky","20,443","20,652","20,943"
"Benton County, Oregon","95,208","96,277","97,630"
"Cochran County, Texas","2,557","2,491","2,526"
"Saunders County, Nebraska","22,372","22,798","23,118"
"Kenai Peninsula Borough, Alaska","58,927","59,851","60,690"
"Leon County, Texas","15,731","15,985","16,209"
"Cocke County, Tennessee","36,039","36,370","36,879"
"Kent County, Delaware","182,362","184,371","186,946"
"Franklin County, Texas","10,371","10,472","10,618"
"Mason County, Washington","66,029","67,229","68,166"
"Wallowa County, Oregon","7,401","7,554","7,659"
"Weston County, Wyoming","6,818","6,766","6,860"
"Putnam County, Tennessee","80,052","81,255","82,382"
"Chilton County, Alabama","45,051","45,259","45,884"
"Hawkins County, Tennessee","56,710","57,257","58,043"
"Gaines County, Texas","21,699","21,881","22,181"
"Power County, Idaho","7,877","7,959","8,068"
"Teton County, Montana","6,256","6,282","6,368"
"Travis County, Texas","1,296,515","1,308,544","1,326,436"
"Emery County, Utah","9,842","9,963","10,099"
"Henry County, Georgia","241,848","245,023","248,364"
"Gentry County, Missouri","6,134","6,169","6,253"
"Sandoval County, New Mexico","149,276","151,439","153,501"
"Piscataquis County, Maine","16,805","17,184","17,417"
"San Benito County, California","64,521","66,675","67,579"
"Kidder County, North Dakota","2,387","2,361","2,393"
"Sheridan County, Wyoming","31,005","31,667","32,096"
"Trinity County, Texas","13,632","13,809","13,996"
"Moore County, Tennessee","6,471","6,652","6,742"
"Dawes County, Nebraska","8,150","8,131","8,241"
"Lee County, Georgia","33,215","33,194","33,642"
"Scott County, Kentucky","57,520","58,312","59,099"
"Coffee County, Tennessee","58,134","58,933","59,728"
"Mason County, Texas","3,968","3,929","3,982"
"Hardin County, Texas","56,344","57,044","57,811"
"Montrose County, Colorado","42,817","43,230","43,811"
"Sanborn County, South Dakota","2,325","2,383","2,415"
"Pearl River County, Mississippi","56,198","56,505","57,261"
"Hardee County, Florida","25,331","25,307","25,645"
"Lafayette County, Mississippi","55,907","56,857","57,615"
"Carson County, Texas","5,791","5,708","5,784"
"Elbert County, Georgia","19,667","19,554","19,814"
"Okaloosa County, Florida","212,071","213,647","216,482"
"Decatur County, Tennessee","11,437","11,413","11,564"
"Bannock County, Idaho","87,270","88,349","89,517"
"Oxford County, Maine","57,894","58,719","59,495"
"Anderson County, South Carolina","204,176","206,852","209,581"
"Yuba County, California","81,994","83,216","84,310"
"Lincoln County, Idaho","5,129","5,260","5,329"
"Lake of the Woods County, Minnesota","3,764","3,821","3,871"
"Oconee County, Georgia","42,013","43,025","43,588"
"Marquette County, Michigan","66,012","65,800","66,661"
"Cleburne County, Alabama","15,063","15,148","15,346"
"Morgan County, Utah","12,381","12,667","12,832"
"Fluvanna County, Virginia","27,285","27,797","28,159"
"Martinsville city, Virginia","13,479","13,549","13,725"
"Dixie County, Florida","16,690","16,905","17,124"
"Delta County, Texas","5,222","5,337","5,406"
"Ashe County, North Carolina","26,580","26,764","27,110"
"Onslow County, North Carolina","204,937","204,660","207,298"
"Forest County, Wisconsin","9,165","9,262","9,381"
"Butte County, Idaho","2,583","2,650","2,684"
"Lemhi County, Idaho","7,958","8,136","8,240"
"Brule County, South Dakota","5,253","5,254","5,321"
"Lynn County, Texas","5,610","5,652","5,724"
"Muhlenberg County, Kentucky","30,886","30,072","30,455"
"Marshall County, South Dakota","4,315","4,319","4,374"
"Oldham County, Texas","1,764","1,730","1,752"
"Henry County, Alabama","17,175","17,434","17,655"
"Comanche County, Kansas","1,680","1,660","1,681"
"Maricopa County, Arizona","4,440,232","4,494,693","4,551,524"
"Randolph County, Alabama","22,092","22,199","22,479"
"Livingston County, Missouri","13,988","14,223","14,402"
